uniqid,ew,y,east,nw,south,age,female,occupation,form_educ,pmi,det_risk,sanct,tax_mor,fin_diff,resp_coop,wex
80000060,0,NA,0,1,0,21,1,3,3,1,2,2,10,2,1,5914.457031
80000064,0,NA,0,1,0,36,1,3,3,1,1,2,4.4,2,3,2424.484863
80000070,0,NA,0,1,0,39,1,4,2,1,2,2,3.8,1,3,2424.484863
80000086,0,NA,0,1,0,43,1,3,2,1,2,1,8.4,3,3,3774.026367
80000087,0,NA,0,1,0,53,1,3,2,1,4,1,7.4,3,3,3774.026367
80000090,0,NA,0,1,0,53,0,2,3,1,4,2,7.4,3,3,3600.038574
80000092,0,NA,0,1,0,47,0,4,2,1,4,2,8,3,3,3600.038574
80000094,0,NA,0,1,0,21,0,4,3,1,1,3,8.6,1,3,7136.911621
80000096,0,NA,0,1,0,34,1,3,3,1,2,2,9.2,2,1,5212.075195
80000098,0,NA,0,1,0,38,0,4,2,1,2,2,9.2,2,3,6574.85498
80000100,0,NA,0,1,0,22,0,3,2,0,2,2,6.8,2,3,4970.004883
80000104,0,NA,0,1,0,53,0,2,3,0,1,3,10,2,3,5263.893066
80000105,0,NA,0,1,0,60,0,2,2,1,2,3,8.4,2,2,4371.637207
80000107,0,NA,0,1,0,40,0,2,3,0,3,2,9,3,3,4146.96582
80000117,0,NA,0,1,0,42,1,3,2,1,3,2,10,3,3,3924.563965
80000126,0,NA,0,1,0,44,0,4,2,1,2,2,9,2,3,3246.388916
80000130,0,NA,0,1,0,52,0,4,1,1,2,2,10,3,3,4753.654297
80000131,0,NA,0,1,0,35,1,4,3,1,2,2,10,3,3,4705.240234
80000136,0,NA,0,1,0,50,0,3,2,0,4,2,8.8,3,3,3600.038574
80000229,1,0.2,0,1,0,59,0,3,3,1,2,1,4.4,2,2,2946.44873
80000230,0,NA,0,1,0,45,1,2,3,1,2,2,9,2,2,3774.026367
80000231,0,NA,0,1,0,45,1,4,2,1,1,2,8.6,1,3,3570.536133
80000232,0,NA,0,1,0,35,1,4,3,1,2,2,4,3,3,3366.667725
