"uniqid","ew","y","east","nw","south","age","female","occupation","form_educ","pmi","det_risk","sanct","tax_mor","fin_diff","resp_coop","w1","wex"
10000274,0,NA,0,1,0,30,0,3,3,1,2,1,5,1,1,0.9895,8936.307617
10000277,1,0.3,0,1,0,33,0,4,2,1,1,1,6.4,2,2,0.9895,8936.307617
10000297,0,NA,0,1,0,30,1,4,3,1,2,2,2,2,1,0.8487,7664.723633
10000298,0,NA,0,1,0,49,1,2,3,0,2,2,1,2,1,0.8302,7497.647949
10000307,0,NA,0,1,0,38,0,3,2,1,3,2,7.6,2,1,0.9895,8936.307617
10000334,0,NA,0,1,0,29,0,4,1,1,2,2,1,2,3,0.9895,8936.307617
10000338,0,NA,0,1,0,60,0,4,1,1,2,2,4.2,2,1,0.7045,6362.434082
10000352,0,NA,0,1,0,56,0,4,2,1,2,2,1.8,2,2,0.7045,6362.434082
10000354,0,NA,0,1,0,46,0,3,3,1,2,2,2.8,3,1,0.7668,6925.07373
10000357,0,NA,0,1,0,39,1,4,2,1,3,2,7.4,2,1,0.8487,7664.723633
10000371,1,NA,0,1,0,55,1,4,3,1,3,1,4.8,3,1,0.6448,5823.275391
10000486,1,0.6,0,1,0,27,1,3,3,1,3,2,4,3,1,0.8487,7664.723633
10000487,0,NA,0,1,0,26,1,3,3,0,3,2,2.2,3,1,0.8487,7664.723633
10000493,0,NA,0,1,0,71,1,3,3,1,3,2,1,3,1,0.6724,6072.534668
10000502,0,NA,0,1,0,66,1,2,2,0,2,2,1,2,1,0.6724,6072.534668
10000505,0,NA,0,1,0,37,1,3,3,1,2,2,3.8,3,1,0.8487,7664.723633
10000519,0,NA,0,1,0,41,1,3,3,1,1,2,6,3,1,0.8302,7497.647949
10000615,0,NA,0,1,0,50,1,4,3,0,2,2,1.8,2,1,1.2289,11098.361328
10000617,0,NA,0,1,0,54,1,4,3,0,3,2,7,3,1,1.2289,11098.361328
10000619,0,NA,0,1,0,22,0,4,2,1,2,2,3.4,2,1,1.3318,12027.665039
10000694,0,NA,0,1,0,32,1,4,2,1,3,1,1.4,2,1,1.2582,11362.973633
10000695,0,NA,0,1,0,61,1,4,2,0,2,2,1.8,3,1,0.9727,8784.584961
10000700,0,NA,0,1,0,41,0,2,3,0,3,2,3,3,1,1.1487,10374.064453
10000751,0,NA,0,1,0,57,1,4,3,0,3,1,3.2,1,2,0.9727,8784.584961
10000752,0,NA,0,1,0,58,1,3,3,0,2,2,1,3,1,0.9727,8784.584961
10000754,0,NA,0,1,0,28,0,4,2,1,2,2,3.2,3,2,1.451,13104.175781
10000776,0,NA,0,1,0,60,0,4,1,1,2,2,3,3,1,1.063,9600.095703
10000800,0,NA,0,1,0,61,1,4,1,0,3,2,2.4,2,1,0.9727,8784.584961
10000819,0,NA,0,1,0,43,1,3,3,0,4,2,1.2,3,2,1.2289,11098.361328
10000836,0,NA,0,1,0,52,1,3,3,0,2,2,1,2,2,1.2289,11098.361328
10000840,0,NA,0,1,0,58,1,3,2,0,4,2,1,1,1,0.9727,8784.584961
10000904,0,NA,0,1,0,44,1,3,3,0,4,2,2.6,1,2,1.736,15678.049805
10000906,0,NA,0,1,0,47,0,3,2,0,3,2,1.8,3,1,1.6315,14734.295898
10001108,0,NA,0,1,0,35,0,4,3,0,1,2,3.2,2,1,2.0384,18409.064453
10001206,0,NA,0,1,0,56,0,4,1,0,2,2,4.6,2,1,1.5155,13686.68457
10001231,0,NA,0,1,0,47,1,2,3,1,3,2,1.8,3,1,1.736,15678.049805
10001364,0,NA,0,1,0,41,0,4,2,0,1,2,2.4,2,1,1.6315,14734.295898
10001367,0,NA,0,1,0,44,1,3,2,1,2,2,5,2,1,1.736,15678.049805
10001368,0,NA,0,1,0,26,0,3,1,1,2,2,4.4,2,1,2.0384,18409.064453
10001369,0,NA,0,1,0,57,0,4,1,1,4,2,1.8,3,1,1.5155,13686.68457
10001381,0,NA,0,1,0,47,0,3,2,1,2,1,4.8,3,1,1.6315,14734.295898
10001390,0,NA,0,1,0,28,0,2,3,0,3,1,3.4,3,1,2.0384,18409.064453
10001396,0,NA,0,1,0,27,0,4,2,0,3,2,4.2,3,1,2.0384,18409.064453
10001416,0,NA,0,1,0,50,1,2,3,1,4,2,3,2,1,1.3983,12628.235352
10001417,0,NA,0,1,0,54,0,4,2,0,1,1,1,3,1,1.3117,11846.138672
10001438,0,NA,0,1,0,52,1,2,3,0,2,2,1.6,2,1,1.3983,12628.235352
10001441,0,NA,0,1,0,34,0,2,3,0,3,2,3.4,3,1,1.647,14874.27832
10001445,0,NA,0,1,0,42,1,3,3,1,1,1,1.6,3,1,1.3983,12628.235352
10001449,0,NA,0,1,0,38,1,3,3,0,3,2,1,3,1,1.4324,12936.197266
10001467,0,NA,0,1,0,26,1,4,3,1,1,2,2,1,1,1.4324,12936.197266
10001527,0,NA,0,1,0,48,1,4,3,1,2,2,1.8,3,1,1.3983,12628.235352
10001538,0,NA,0,1,0,53,1,2,3,1,4,2,1,3,1,1.3983,12628.235352
10001562,0,NA,0,1,0,40,0,4,2,1,2,1,3.6,2,2,1.3117,11846.138672
10001583,0,NA,0,1,0,39,0,3,3,1,4,1,4.6,3,2,1.647,14874.27832
10001585,0,NA,0,1,0,36,1,3,3,1,1,2,1.6,3,1,1.4324,12936.197266
10001588,0,NA,0,1,0,38,1,3,2,1,3,1,3.4,2,2,1.4324,12936.197266
10001590,0,NA,0,1,0,40,1,3,2,1,3,1,2.4,3,1,1.3983,12628.235352
10001682,0,NA,0,1,0,45,0,4,2,1,1,2,1,2,2,1.3117,11846.138672
10001684,0,NA,0,1,0,54,0,4,2,0,2,2,1,3,1,1.3117,11846.138672
10001686,0,NA,0,1,0,45,0,4,2,0,4,2,2.4,3,1,1.3117,11846.138672
10001687,0,NA,0,1,0,37,0,4,2,0,1,2,1,3,1,1.647,14874.27832
10001762,0,NA,0,1,0,47,0,3,3,1,3,2,9.6,3,1,1.0211,9221.691406
10001777,0,NA,0,1,0,50,1,2,3,0,3,2,2.2,3,1,1.0949,9888.189453
10001892,0,NA,0,1,0,33,0,4,3,1,3,2,3,3,1,1.0515,9496.238281
10001902,0,NA,0,1,0,42,1,2,3,0,2,2,1,3,1,0.8858,7999.778809
10002183,0,NA,0,1,0,47,0,4,2,1,1,1,5.6,2,1,1.1847,10699.18457
10002193,0,NA,0,1,0,49,0,3,3,0,4,1,1,3,1,1.1847,10699.18457
10002248,0,NA,0,1,0,50,0,3,2,0,3,2,5,3,1,1.1847,10699.18457
10002268,0,NA,0,1,0,29,1,3,3,1,3,1,4.6,2,2,1.2955,11699.834961
10002276,0,NA,0,1,0,44,1,3,3,1,2,1,3.6,3,2,1.2647,11421.675781
10002338,0,NA,0,1,0,29,1,3,3,0,3,2,5.4,2,1,1.2955,11699.834961
10002339,0,NA,0,1,0,28,1,3,3,0,3,2,3.8,3,1,1.2955,11699.834961
10002372,0,NA,0,1,0,40,0,3,2,0,3,2,6.2,3,2,1.1847,10699.18457
10002392,1,NA,0,1,0,20,0,4,2,1,3,2,1,3,1,1.3707,12378.975586
10002493,0,NA,0,1,0,45,0,2,3,1,4,2,2.6,3,1,0.5332,4815.400879
10002496,0,NA,0,1,0,59,0,3,3,1,1,2,2.6,2,1,0.4885,4411.708984
10002500,0,NA,0,1,0,56,0,4,3,1,2,2,1.6,2,2,0.4885,4411.708984
10002520,0,NA,0,1,0,49,0,3,2,0,3,2,1.8,3,1,0.5332,4815.400879
10002528,0,NA,0,1,0,42,0,3,3,1,3,2,3.8,2,1,0.785,7089.44043
10002531,0,NA,0,1,0,56,1,3,2,0,3,3,2.6,3,1,0.6604,5964.161133
10002535,0,NA,0,1,0,33,0,2,3,1,4,2,3,2,1,1.0066,9090.740234
10002545,0,NA,0,1,0,39,0,4,3,0,3,2,2.4,2,2,1.0066,9090.740234
10002548,0,NA,0,1,0,51,1,3,2,1,2,2,1.8,3,1,0.846,7640.339844
10002551,0,NA,0,1,0,48,0,2,2,1,2,2,2.2,2,1,0.785,7089.44043
10002567,0,NA,0,1,0,57,0,2,3,1,3,2,3,3,1,0.7228,6527.704102
10002568,0,NA,0,1,0,39,1,4,2,0,3,2,2.4,3,1,0.8658,7819.15625
10002571,0,NA,0,1,0,21,0,3,2,1,2,2,2.4,2,1,0.9193,8302.322266
10002581,0,NA,0,1,0,26,1,3,3,0,3,2,2,3,1,0.8658,7819.15625
10002583,0,NA,0,1,0,45,0,4,3,0,3,2,1.4,3,1,0.785,7089.44043
10002592,0,NA,0,1,0,38,0,3,3,1,2,2,2,3,1,1.0066,9090.740234
10002595,0,NA,0,1,0,50,1,2,2,0,3,2,1.4,3,1,0.846,7640.339844
10002599,0,NA,0,1,0,34,0,2,3,0,2,2,2,3,1,1.0066,9090.740234
10002601,0,NA,0,1,0,54,0,3,3,1,2,2,3,3,1,0.785,7089.44043
10002609,1,0.15,0,1,0,35,1,4,3,1,2,2,3.6,3,1,0.8658,7819.15625
10002625,0,NA,0,1,0,35,1,3,3,1,1,2,2.2,3,1,0.8658,7819.15625
10002629,0,NA,0,1,0,24,1,4,2,1,3,2,2.6,2,1,0.8661,7821.865723
10002636,0,NA,0,1,0,53,0,2,3,1,3,2,3.8,3,1,0.785,7089.44043
10002730,0,NA,0,1,0,42,0,4,2,1,4,2,1,3,1,0.785,7089.44043
10002842,0,NA,0,1,0,45,0,4,2,1,2,1,2.4,2,1,0.785,7089.44043
10002845,0,NA,0,1,0,67,1,4,2,1,2,2,1,2,1,0.6904,6235.095215
10002856,0,NA,0,1,0,30,0,4,3,1,3,2,3.8,2,1,1.0066,9090.740234
10002859,0,NA,0,1,0,53,1,3,2,0,2,2,3,2,1,0.846,7640.339844
10002866,0,NA,0,1,0,18,1,4,3,0,2,2,2.4,3,1,0.8661,7821.865723
10002868,0,NA,0,1,0,53,0,2,3,0,2,2,3,3,1,0.785,7089.44043
10002873,0,NA,0,1,0,29,1,3,3,1,2,2,1.8,3,1,0.8658,7819.15625
10002876,0,NA,0,1,0,46,0,2,3,1,2,2,2.8,3,1,0.785,7089.44043
10002879,0,NA,0,1,0,31,0,4,3,1,4,2,3,1,1,1.0066,9090.740234
10002886,0,NA,0,1,0,47,1,3,3,1,3,2,3.4,2,1,0.846,7640.339844
10002921,0,NA,0,1,0,27,1,3,3,1,2,3,3.6,2,1,0.8658,7819.15625
10002925,0,NA,0,1,0,55,0,4,2,1,2,2,2,3,1,0.7228,6527.704102
10002928,0,NA,0,1,0,44,0,3,3,1,2,2,3,2,1,0.785,7089.44043
10002938,0,NA,0,1,0,30,1,4,2,0,3,2,3,3,1,0.8658,7819.15625
10002942,0,NA,0,1,0,52,1,4,3,1,2,2,1,3,1,0.846,7640.339844
10002946,0,NA,0,1,0,24,0,4,3,0,2,2,3.4,3,1,0.9193,8302.322266
10002953,0,NA,0,1,0,46,0,2,3,0,2,2,1.8,3,1,0.785,7089.44043
10002956,0,NA,0,1,0,34,1,4,3,0,3,2,2.8,3,1,0.8658,7819.15625
10003053,0,NA,0,1,0,56,1,4,2,1,3,2,2.6,2,2,0.627,5662.521484
10003063,0,NA,0,1,0,25,0,4,2,1,2,1,2.8,3,1,0.9583,8654.536133
10003072,0,NA,0,1,0,43,0,4,2,1,3,2,2.8,3,2,0.7454,6731.807617
10003091,0,NA,0,1,0,39,0,3,3,0,4,2,2.2,3,2,0.9583,8654.536133
10003176,0,NA,0,1,0,51,1,4,3,1,3,2,1,3,1,1.1598,10474.30957
10003178,0,NA,0,1,0,54,0,4,1,0,4,2,5,3,1,1.0814,9766.268555
10003187,0,NA,0,1,0,30,1,4,3,0,2,2,6.8,3,1,1.187,10719.957031
10003192,0,NA,0,1,0,30,0,3,3,0,2,2,4.2,3,1,1.3721,12391.619141
10003312,0,NA,0,1,0,49,1,2,3,0,3,2,1.4,3,2,1.1598,10474.30957
10003333,0,NA,0,1,0,63,1,3,2,1,2,2,5.2,3,1,0.9144,8258.069336
10003338,0,NA,0,1,0,49,0,4,3,1,3,1,4.4,2,1,1.0814,9766.268555
10003343,0,NA,0,1,0,52,0,3,2,1,2,2,3.6,3,1,1.0814,9766.268555
10003446,0,NA,0,1,0,38,0,4,2,0,4,2,1,3,1,1.0665,9631.705078
10003454,0,NA,0,1,0,54,0,4,2,0,3,2,4.4,3,1,0.83,7495.841797
10003482,0,NA,0,1,0,57,1,4,2,1,4,2,1,3,2,0.6988,6310.956543
10003484,0,NA,0,1,0,58,0,4,3,0,3,2,1,3,1,0.7637,6897.077637
10003487,0,NA,0,1,0,40,1,2,3,1,3,2,2.4,2,1,0.8963,8094.605957
10003512,0,NA,0,1,0,47,0,4,3,1,2,2,3.4,3,2,0.83,7495.841797
10003522,0,NA,0,1,0,59,1,3,1,0,1,2,3,2,3,0.6988,6310.956543
10003525,0,NA,0,1,0,68,1,4,1,1,2,2,3.6,3,2,0.7294,6587.30957
10003532,0,NA,0,1,0,23,0,4,3,1,1,2,6.4,2,1,0.9735,8791.80957
10003535,0,NA,0,1,0,40,1,3,3,1,2,1,5.2,2,3,0.8963,8094.605957
10003547,0,NA,0,1,0,28,0,4,2,1,1,2,1,3,2,1.0665,9631.705078
10003548,0,NA,0,1,0,46,0,4,2,1,1,2,2.2,2,2,0.83,7495.841797
10003616,0,NA,0,1,0,65,0,2,3,0,2,2,2.8,3,2,0.9892,8933.598633
10003620,0,NA,0,1,0,25,0,3,3,1,2,2,5,3,2,1.5411,13917.881836
10003640,0,NA,0,1,0,38,1,4,3,1,2,2,1,3,2,1.3393,12095.398438
10003773,0,NA,0,1,0,36,1,4,3,0,3,2,4,3,1,0.7198,6500.61084
10003814,0,NA,0,1,0,39,0,4,3,0,3,2,3.6,3,1,0.8397,7583.443848
10003815,0,NA,0,1,0,42,0,2,3,0,3,2,1,3,1,0.6507,5876.559082
10003820,0,NA,0,1,0,28,0,4,3,1,2,1,4.6,1,1,0.8397,7583.443848
10003840,0,NA,0,1,0,32,0,4,2,0,2,1,3,3,1,0.8397,7583.443848
10003855,0,NA,0,1,0,44,0,3,2,1,3,2,2.6,2,2,0.6507,5876.559082
10003856,0,NA,0,1,0,39,0,4,3,1,2,2,2.6,3,2,0.8397,7583.443848
10003876,0,NA,0,1,0,62,1,3,3,1,2,2,4.6,3,1,0.5461,4931.902344
10003924,0,NA,0,1,0,53,0,3,3,1,2,2,1,3,2,0.9482,8563.321289
10003938,0,NA,0,1,0,39,0,4,3,0,4,1,1,3,2,1.207,10900.579102
10003957,0,NA,0,1,0,38,0,4,3,1,2,1,1,3,2,1.207,10900.579102
10003974,0,NA,0,1,0,18,1,4,2,1,1,2,1,3,2,1.0439,9427.601562
10003975,0,NA,0,1,0,26,1,3,2,1,2,2,1,2,2,1.0421,9411.345703
10003978,0,NA,0,1,0,32,0,4,2,1,2,2,1.8,3,2,1.207,10900.579102
10003999,0,NA,0,1,0,41,0,4,3,1,2,1,1,3,2,0.9482,8563.321289
10004015,0,NA,0,1,0,28,1,4,2,0,1,2,2,1,1,1.0421,9411.345703
10004017,0,NA,0,1,0,28,1,4,3,1,1,3,1,1,1,1.0421,9411.345703
10004018,0,NA,0,1,0,50,0,4,2,0,3,2,3.6,2,1,0.9482,8563.321289
10004019,0,NA,0,1,0,49,0,3,3,0,2,2,3.6,2,1,0.9482,8563.321289
10004020,0,NA,0,1,0,43,1,4,3,0,3,2,3.4,1,1,1.0179,9192.791992
10004036,0,NA,0,1,0,44,0,2,3,0,3,2,5.2,2,1,0.9482,8563.321289
10004044,0,NA,0,1,0,27,0,4,2,0,2,2,2.6,2,2,1.207,10900.579102
10004045,0,NA,0,1,0,45,1,4,2,1,2,2,4.4,2,2,1.0179,9192.791992
10004051,0,NA,0,1,0,20,0,4,2,1,2,2,4.8,3,2,1.1049,9978.500977
10004056,0,NA,0,1,0,56,1,4,2,1,2,2,2.6,2,2,0.8,7224.907715
10004076,0,NA,0,1,0,49,0,4,3,1,3,2,2.4,3,2,0.9482,8563.321289
10004077,0,NA,0,1,0,48,0,4,2,1,2,2,2.6,3,2,0.9482,8563.321289
10004078,0,NA,0,1,0,50,1,4,2,1,2,2,3.6,2,2,1.0179,9192.791992
10004079,0,NA,0,1,0,24,1,3,3,1,2,2,1,3,2,1.0439,9427.601562
10004080,0,NA,0,1,0,23,0,4,3,1,2,2,2.2,3,2,1.1049,9978.500977
10004086,0,NA,0,1,0,48,1,2,2,1,1,1,1.6,3,1,1.0179,9192.791992
10004087,0,NA,0,1,0,28,0,3,2,1,2,2,3.6,3,1,1.207,10900.579102
10004088,0,NA,0,1,0,31,1,3,3,0,2,2,6,1,1,1.0421,9411.345703
10004116,0,NA,0,1,0,26,0,4,3,0,3,2,4,2,1,1.207,10900.579102
10004117,0,NA,0,1,0,42,1,2,2,0,4,2,2.6,2,1,1.0179,9192.791992
10004118,0,NA,0,1,0,38,0,4,2,0,2,1,1,1,1,1.207,10900.579102
10004119,0,NA,0,1,0,38,0,4,2,0,2,1,1.8,1,1,1.207,10900.579102
10004172,0,NA,0,1,0,42,1,3,3,1,3,1,3,3,2,1.0179,9192.791992
10004174,0,NA,0,1,0,42,1,3,3,1,2,2,1,2,2,1.0179,9192.791992
10004200,0,NA,0,1,0,33,0,4,3,0,2,2,3.2,2,2,1.207,10900.579102
10004297,0,NA,0,1,0,37,1,4,3,1,2,2,2.8,3,2,0.8019,7242.066895
10004299,0,NA,0,1,0,56,0,2,3,1,3,2,1.8,3,2,0.6664,6018.348145
10004303,0,NA,0,1,0,39,0,4,3,1,2,2,1,3,2,0.935,8444.110352
10004306,0,NA,0,1,0,51,0,4,2,1,2,2,1,3,2,0.7251,6548.475586
10004497,0,NA,0,1,0,40,0,3,3,0,3,2,2.6,2,1,0.8421,7605.118164
10004521,0,NA,0,1,0,24,1,4,3,0,1,2,1,2,1,0.928,8380.892578
10004536,1,NA,0,1,0,20,0,4,2,1,4,1,8.4,3,1,0.9832,8879.411133
10004537,0,NA,0,1,0,56,1,2,3,1,3,2,1,3,1,0.7098,6410.299316
10004538,0,NA,0,1,0,43,1,3,3,1,3,1,4.4,3,1,0.9054,8176.789062
10004559,0,NA,0,1,0,35,0,3,3,1,2,2,2.6,3,1,1.075,9708.469727
10004561,0,NA,0,1,0,57,0,2,3,1,3,2,2,3,1,0.7766,7013.579102
10004564,0,NA,0,1,0,51,1,4,2,1,2,2,2,1,3,0.9054,8176.789062
10004574,0,NA,0,1,0,42,1,3,2,1,1,1,1,2,1,0.9054,8176.789062
10004735,0,NA,0,1,0,40,0,4,2,0,4,2,2.6,2,1,1.2113,10939.413086
10004741,0,NA,0,1,0,60,0,4,3,1,3,2,2.4,3,1,1.1217,10130.223633
10004780,0,NA,0,1,0,50,1,4,3,1,2,2,5,2,1,1.2944,11689.900391
10004796,0,NA,0,1,0,25,1,3,3,1,3,2,3,3,1,1.3256,11971.671875
10004797,0,NA,0,1,0,36,1,3,3,1,3,2,3.6,3,1,1.3256,11971.671875
10004799,0,NA,0,1,0,20,0,4,2,1,3,2,3.8,3,1,1.4027,12667.972656
10004800,0,NA,0,1,0,49,0,3,3,1,3,2,3.6,3,1,1.2113,10939.413086
10004801,0,NA,0,1,0,40,0,3,3,0,3,2,4.4,3,1,1.2113,10939.413086
10004804,0,NA,0,1,0,36,0,2,3,1,2,2,1,2,2,1.1962,10803.042969
10004816,0,NA,0,1,0,51,1,3,3,1,2,2,4.6,3,2,1.0082,9105.189453
10004836,0,NA,0,1,0,30,1,3,2,1,3,2,1.8,3,2,1.0318,9318.324219
10004858,0,NA,0,1,0,32,0,3,2,1,2,2,5,2,2,1.1962,10803.042969
10004963,0,NA,0,1,0,48,1,3,3,1,3,2,8,2,2,1.094,9880.061523
10004965,0,NA,0,1,0,48,0,3,3,0,2,2,1,3,2,1.0185,9198.210938
10004977,0,NA,0,1,0,50,1,4,3,0,3,2,1.4,2,2,1.094,9880.061523
10005100,0,NA,0,1,0,62,1,3,2,1,1,1,2.4,2,1,1.5952,14406.46582
10011897,0,NA,0,1,0,39,1,3,3,1,2,2,3,3,2,0.8487,7664.723633
10011923,0,NA,0,1,0,30,0,4,3,1,2,2,2.2,3,2,0.9895,8936.307617
10011928,0,NA,0,1,0,36,0,3,3,0,4,3,1.6,3,1,0.9895,8936.307617
10011944,0,NA,0,1,0,45,1,3,3,1,3,2,2.18516744746189,3,1,0.8302,7497.647949
10011979,0,NA,0,1,0,55,1,2,3,1,2,3,5.2,3,1,0.6448,5823.275391
10011980,0,NA,0,1,0,46,0,4,2,1,1,3,4.8,2,2,0.7668,6925.07373
10011982,0,NA,0,1,0,32,1,3,3,1,2,2,5,3,1,0.8487,7664.723633
10011994,0,NA,0,1,0,55,0,4,1,1,1,3,5.4,2,1,0.7045,6362.434082
10011995,0,NA,0,1,0,42,0,4,2,1,1,3,5,2,2,0.7668,6925.07373
10011998,0,NA,0,1,0,38,1,4,2,1,1,3,5.4,2,2,0.8487,7664.723633
10011999,0,NA,0,1,0,38,1,2,3,1,2,3,4.4,3,1,0.8487,7664.723633
10012019,0,NA,0,1,0,81,0,4,1,1,2,2,2.8,2,1,0.9234,8339.349609
10012020,0,NA,0,1,0,62,1,3,2,1,2,3,1,3,2,0.9727,8784.584961
10012021,0,NA,0,1,0,58,1,3,3,1,2,2,3,3,1,0.9727,8784.584961
10012022,0,NA,0,1,0,41,0,2,3,0,2,2,2,1,2,1.1487,10374.064453
10012023,0,NA,0,1,0,25,0,2,3,0,3,3,1,3,1,1.451,13104.175781
10012079,0,NA,0,1,0,52,0,4,3,0,4,2,2.6,3,1,1.1487,10374.064453
10012083,0,NA,0,1,0,37,0,3,3,0,4,2,1.4,3,1,1.451,13104.175781
10012100,0,NA,0,1,0,37,1,3,2,0,3,2,1,2,1,1.2582,11362.973633
10012103,0,NA,0,1,0,29,1,4,2,0,1,2,3,2,1,1.2582,11362.973633
10012120,0,NA,0,1,0,47,1,3,2,0,3,2,5.8,2,1,1.2289,11098.361328
10012122,0,NA,0,1,0,57,0,2,3,1,4,2,1,3,1,1.063,9600.095703
10012143,0,NA,0,1,0,29,0,4,3,0,3,2,5.2,3,1,1.451,13104.175781
10012162,0,NA,0,1,0,61,0,3,2,0,3,2,5.4,3,2,1.063,9600.095703
10012177,0,NA,0,1,0,59,1,3,2,1,3,2,2.6,3,1,1.3879,12534.311523
10012195,1,NA,0,1,0,36,1,4,3,1,2,2,1.8,3,1,1.778,16057.357422
10012200,0,NA,0,1,0,33,0,4,2,0,3,1,3,3,1,2.0384,18409.064453
10012246,0,NA,0,1,0,60,1,4,2,0,2,2,1,2,1,1.3879,12534.311523
10012253,0,NA,0,1,0,60,1,2,3,1,3,2,3.4,3,1,1.3879,12534.311523
10012259,0,NA,0,1,0,26,0,4,3,1,3,2,3,3,1,2.0384,18409.064453
10012265,0,NA,0,1,0,50,1,2,3,1,3,2,2.2,3,1,1.736,15678.049805
10012381,0,NA,0,1,0,49,0,4,3,1,2,2,1.8,3,1,1.6315,14734.295898
10012403,0,NA,0,1,0,50,1,4,3,1,3,2,1.6,3,1,1.736,15678.049805
10012694,0,NA,0,1,0,61,0,4,2,1,3,1,5,2,2,0.9434,8519.972656
10012698,0,NA,0,1,0,58,0,4,2,1,3,1,3,2,2,0.9434,8519.972656
10012701,0,NA,0,1,0,56,0,4,2,1,1,1,1,1,1,0.9434,8519.972656
10012702,0,NA,0,1,0,45,1,4,3,1,3,1,3,1,2,1.0949,9888.189453
10012704,0,NA,0,1,0,54,0,4,2,1,2,1,3,1,1,1.0211,9221.691406
10012707,0,NA,0,1,0,40,1,4,2,0,2,1,2,2,1,1.0949,9888.189453
10012720,0,NA,0,1,0,60,0,4,3,0,3,2,3.4,2,2,0.9434,8519.972656
10012808,0,NA,0,1,0,45,1,4,3,0,2,3,2.8,2,1,1.2647,11421.675781
10012812,0,NA,0,1,0,38,1,4,3,1,2,2,4.6,3,1,1.2955,11699.834961
10012825,0,NA,0,1,0,37,1,3,3,0,3,1,4,2,1,1.2955,11699.834961
10012828,1,0.22,0,1,0,52,1,3,2,1,2,2,1.8,3,1,1.2647,11421.675781
10012831,0,NA,0,1,0,46,0,2,3,1,3,3,2.8,3,1,1.1847,10699.18457
10012850,0,NA,0,1,0,38,1,4,2,0,2,2,1.2,2,1,1.2955,11699.834961
10012857,0,NA,0,1,0,26,0,3,3,1,2,1,1.8,3,1,1.4923,13477.162109
10012865,0,NA,0,1,0,45,1,4,2,1,2,2,4.8,3,1,1.2647,11421.675781
10012868,0,NA,0,1,0,57,1,4,2,0,2,1,1,3,1,1.0033,9060.9375
10012870,0,NA,0,1,0,22,0,3,3,1,3,2,1,3,1,1.3707,12378.975586
10012901,0,NA,0,1,0,32,1,4,2,0,2,2,3.8,2,2,1.2955,11699.834961
10012913,0,NA,0,1,0,22,0,3,2,1,3,2,5.8,2,2,1.3707,12378.975586
10012915,0,NA,0,1,0,54,1,3,3,1,2,2,4.4,3,2,1.2647,11421.675781
10012958,0,NA,0,1,0,60,0,3,2,1,3,2,5.4,3,2,1.0974,9910.766602
